Date,Fully_Vaccinated
2020-12-14,88
2020-12-15,176
2020-12-16,357
2020-12-17,541
2020-12-18,920
2020-12-19,935
2020-12-20,614
2020-12-21,1124
2020-12-22,2366
2020-12-23,1954
2020-12-24,858
2020-12-25,80
2020-12-26,539
2020-12-27,533
2020-12-28,2882
2020-12-29,4100
2020-12-30,6368
2020-12-31,2694
2021-01-01,4993
2021-01-02,2822
2021-01-03,2393
2021-01-04,44775
2021-01-05,87041
2021-01-06,170535
2021-01-07,276550
2021-01-08,358419
2021-01-09,127154
2021-01-10,68513
2021-01-11,320514
2021-01-12,312417
2021-01-13,269361
2021-01-14,133715
2021-01-15,119049
2021-01-16,70881
2021-01-17,41562
2021-01-18,225307
2021-01-19,349321
2021-01-20,416450
2021-01-21,269766
2021-01-22,205001
2021-01-23,146984
2021-01-24,86612
2021-01-25,477005
2021-01-26,570270
2021-01-27,636157
2021-01-28,545064
2021-01-29,482556
2021-01-30,237902
2021-01-31,124099
2021-02-01,555802
2021-02-02,681787
2021-02-03,819137
2021-02-04,894409
2021-02-05,937617
2021-02-06,415385
2021-02-07,154678
2021-02-08,691778
2021-02-09,877111
2021-02-10,1019945
2021-02-11,1071395
2021-02-12,1139870
2021-02-13,569657
2021-02-14,226945
2021-02-15,522464
2021-02-16,776663
2021-02-17,981944
2021-02-18,960530
2021-02-19,1074948
2021-02-20,666456
2021-02-21,314192
2021-02-22,781772
2021-02-23,999395
2021-02-24,1205457
2021-02-25,1305759
2021-02-26,1339738
2021-02-27,799520
2021-02-28,285268
2021-03-01,764104
2021-03-02,934527
2021-03-03,1104675
2021-03-04,1218022
2021-03-05,1272357
2021-03-06,848949
2021-03-07,338696
2021-03-08,834562
2021-03-09,1065869
2021-03-10,1249205
2021-03-11,1377425
2021-03-12,1497231
2021-03-13,1007514
2021-03-14,422191
2021-03-15,854656
2021-03-16,1028897
2021-03-17,1107634
2021-03-18,1186564
2021-03-19,1196062
2021-03-20,850574
2021-03-21,364407
2021-03-22,785449
2021-03-23,1125099
2021-03-24,1390522
2021-03-25,1610670
2021-03-26,1762022
2021-03-27,1145192
2021-03-28,538814
2021-03-29,1245971
2021-03-30,1625277
2021-03-31,1904320
2021-04-01,2190204
2021-04-02,1779475
2021-04-03,1142372
2021-04-04,364550
2021-04-05,1568394
2021-04-06,2041707
2021-04-07,2270118
2021-04-08,2472443
2021-04-09,2391191
2021-04-10,1622830
2021-04-11,788383
2021-04-12,1689255
2021-04-13,1682169
2021-04-14,1883482
2021-04-15,1899508
2021-04-16,1890823
2021-04-17,1159156
2021-04-18,566956
2021-04-19,1431722
2021-04-20,1798511
2021-04-21,2010425
2021-04-22,2012113
2021-04-23,1861757
2021-04-24,1167099
2021-04-25,486820
2021-04-26,1398958
2021-04-27,1755394
2021-04-28,1928415
2021-04-29,1941539
2021-04-30,1810434
2021-05-01,1138638
2021-05-02,574162
2021-05-03,1383640
2021-05-04,1732565
2021-05-05,1765717
2021-05-06,1767511
2021-05-07,1737127
2021-05-08,1063378
2021-05-09,428344
2021-05-10,1141163
2021-05-11,1411681
2021-05-12,1401300
2021-05-13,1366301
2021-05-14,1396925
2021-05-15,963523
2021-05-16,475106
2021-05-17,982751
2021-05-18,1132866
2021-05-19,1151611
2021-05-20,1143346
2021-05-21,1165942
2021-05-22,748942
2021-05-23,337836
2021-05-24,731025
2021-05-25,815912
2021-05-26,813009
2021-05-27,770031
2021-05-28,760192
2021-05-29,408437
2021-05-30,198477
2021-05-31,118144
2021-06-01,757882
2021-06-02,659257
2021-06-03,813053
2021-06-04,925064
2021-06-05,727880
2021-06-06,349784
2021-06-07,713926
2021-06-08,793100
2021-06-09,797430
2021-06-10,788652
2021-06-11,827262
2021-06-12,623418
2021-06-13,287293
2021-06-14,599959
2021-06-15,640030
2021-06-16,613156
2021-06-17,571956
2021-06-18,578499
2021-06-19,359560
2021-06-20,170975
2021-06-21,282808
2021-06-22,454745
2021-06-23,427870
2021-06-24,404067
2021-06-25,435281
2021-06-26,285765
2021-06-27,145787
2021-06-28,294943
2021-06-29,346393
2021-06-30,340821
2021-07-01,321650
2021-07-02,329987
2021-07-03,182790
2021-07-04,26329
2021-07-05,201828
2021-07-06,325114
2021-07-07,306159
2021-07-08,297652
2021-07-09,331416
2021-07-10,199896
2021-07-11,104125
2021-07-12,261383
2021-07-13,259266
2021-07-14,259919
2021-07-15,255552
2021-07-16,288834
2021-07-17,182763
2021-07-18,101745
2021-07-19,240644
2021-07-20,245763
2021-07-21,255702
2021-07-22,246226
2021-07-23,274503
2021-07-24,167968
2021-07-25,60526
2021-07-26,212265
2021-07-27,240853
2021-07-28,248520
2021-07-29,242226
2021-07-30,279866
2021-07-31,173978
2021-08-01,93823
2021-08-02,228993
2021-08-03,245351
2021-08-04,246750
2021-08-05,256081
2021-08-06,301286
2021-08-07,183612
2021-08-08,113656
2021-08-09,277903
2021-08-10,285534
2021-08-11,286750
2021-08-12,304326
2021-08-13,378099
2021-08-14,235490
2021-08-15,157089
2021-08-16,344603
2021-08-17,353494
2021-08-18,367866
2021-08-19,370069
2021-08-20,463691
2021-08-21,287697
2021-08-22,173871
2021-08-23,393038
2021-08-24,401345
2021-08-25,408745
2021-08-26,417798
2021-08-27,520369
2021-08-28,329611
2021-08-29,199127
2021-08-30,416239
2021-08-31,406878
2021-09-01,390871
2021-09-02,385934
2021-09-03,472577
2021-09-04,268048
2021-09-05,167452
2021-09-06,82214
2021-09-07,463588
2021-09-08,387505
2021-09-09,382223
2021-09-10,482162
2021-09-11,288763
2021-09-12,167212
2021-09-13,369967
2021-09-14,364692
2021-09-15,374638
2021-09-16,376884
2021-09-17,462840
2021-09-18,265400
2021-09-19,158541
2021-09-20,337097
2021-09-21,327456
2021-09-22,321415
2021-09-23,313659
2021-09-24,395166
2021-09-25,219291
2021-09-26,138836
2021-09-27,211495
2021-09-28,289925
2021-09-29,296341
2021-09-30,300960
2021-10-01,353624
2021-10-02,195748
2021-10-03,122793
2021-10-04,240437
2021-10-05,241057
2021-10-06,242237
2021-10-07,236490
2021-10-08,288451
2021-10-09,157126
2021-10-10,95264
2021-10-11,198020
2021-10-12,207133
2021-10-13,200438
2021-10-14,198898
2021-10-15,237335
2021-10-16,120252
2021-10-17,71869
2021-10-18,180124
2021-10-19,163053
2021-10-20,153580
2021-10-21,95947
2021-10-22,16808